status_id,status_message,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys,num_special
901254039928419_1444447568942394,"Robotics is all set to change the way we look at life, making it all the more easy. Meet the Indian startups innovating in the field of robotics, only at #StartupIndia pavilion, Hall #18, IITF 2017.",,photo,https://www.facebook.com/StartupIndia/photos/a.903216846398805.1073741828.901254039928419/1444447478942403/?type=3,2017-11-12 00:19:03,32,0,5,32,0,0,0,0,0,0
901254039928419_134816443841761,"The India International Trade Fair (IITF) being hosted from 14th to 27th of November at Pragati Maidan, New Delhi. IITF with B2B and B2C components is one of the largest integrated trade fairs. The format of IITF has Business, Social, Cultural and Educational Dimensions that are weaved together where visitors and exhibitors, media persons, marketing professionals, social activists, NGOs etc. all come together to explore their objectives.
 
Several Government Organizations use this platform to spread awareness about their programs and policies among the public. As such, almost all States and Union Territories of Federal Government of India participate in this mega event. The theme this year is Startup India and Stand Up India
 
Open to Business Visitors from Nov 14-17 | General-Public from Nov 18-27 | 9.30 am to 7.30 pm

About Start Up India pavilion:

Set up in Hall 18, Pragati Maidan, will be the Start Up India pavilion where we will showcase indigenous start-ups across various industries. The pavilion is also going to host some of the latest-in-tech engagements activities such as; The Sling Shot and Tweet Café!

Visit us at hall 18, Pragati Maidan to witness the giant leap our indigenous start-ups are making.",India International Trade Fair (IITF),event,https://www.facebook.com/events/134816443841761/,2017-11-11 01:08:02,220,3,0,216,4,0,0,0,0,0
901254039928419_1443536955700122,Today's #startups are creating tomorrow's India. Meet such promising startups at IITF 2017. Visit the #StartupIndia pavilion at Hall #18.,,photo,https://www.facebook.com/StartupIndia/photos/a.903216846398805.1073741828.901254039928419/1443536845700133/?type=3,2017-11-11 00:48:22,37,3,2,37,0,0,0,0,0,0
901254039928419_1442138842506600,Discover how #startups with disruptive technologies are going to be the changemakers at the #StartupIndia Pavilion at IITF 2017. #StartupThursday,StartupThursday on IITF 2017,video,https://www.facebook.com/StartupIndia/videos/1442138842506600/,2017-11-09 10:01:15,90,6,16,88,2,0,0,0,0,0
901254039928419_1442040229183128,#StartupIndia is featuring at IITF 2017. This #StartupThursday get a closer look at what all to expect this year's #StartupIndia stall at IITF 2017.,,photo,https://www.facebook.com/StartupIndia/photos/a.903216846398805.1073741828.901254039928419/1442040142516470/?type=3,2017-11-09 07:27:33,21,0,1,21,0,0,0,0,0,0
901254039928419_1441821512538333,#StartupIndia Hub provides an array of services a #startup needs throughout its life cycle. http://startupindiahub.org.in/,,photo,https://www.facebook.com/StartupIndia/photos/a.903216846398805.1073741828.901254039928419/1441821435871674/?type=3,2017-11-09 00:27:37,22,0,4,22,0,0,0,0,0,0
901254039928419_1440943939292757,Join the #StartupIndia L&D program and master the art of doing business. https://www.startupindia.gov.in/learning-development/,,photo,https://www.facebook.com/StartupIndia/photos/a.903216846398805.1073741828.901254039928419/1440943882626096/?type=3,2017-11-07 22:48:16,58,2,12,57,1,0,0,0,0,0
901254039928419_1440444899342661,Startups & change go hand in hand. They not just benefit from it but also bring forth one for others. #StartupIndia,,photo,https://www.facebook.com/StartupIndia/photos/a.903216846398805.1073741828.901254039928419/1440444759342675/?type=3,2017-11-07 08:51:42,37,1,7,36,1,0,0,0,0,0
901254039928419_1439334412787043,GrabOnRent gets funding assistance from #StartupIndia . Learn more at https://www.grabonrent.com/Bangalore/  #FundOfFunds,,photo,https://www.facebook.com/StartupIndia/photos/a.903216846398805.1073741828.901254039928419/1439334262787058/?type=3,2017-11-05 23:35:19,47,2,4,46,1,0,0,0,0,0
901254039928419_1436272459759905,India Israel Innovation Bridge is the best platform for #startups to showcase potential. Find out at #StartupThursday,StartupThursday on India Israel Innovation Bridge,video,https://www.facebook.com/StartupIndia/videos/1436272459759905/,2017-11-02 09:20:26,79,3,11,73,3,0,2,1,0,0
901254039928419_1436242176429600,This #StartupThursday know all about India Israel Innovation Challenge & what's in there for you. #StartupIndia,,photo,https://www.facebook.com/StartupIndia/photos/a.903216846398805.1073741828.901254039928419/1436242039762947/?type=3,2017-11-02 08:33:29,35,2,5,34,1,0,0,0,0,0
901254039928419_1436230523097432,"India Israel Innovation Challenge - Objective, Problems, Prize & Everything you need to know . #StartupIndia #StartupThursday",,photo,https://www.facebook.com/StartupIndia/photos/a.903216846398805.1073741828.901254039928419/1436230316430786/?type=3,2017-11-02 08:14:57,23,1,18,21,2,0,0,0,0,0
901254039928419_1436009666452851,#StartupIndia hub is creating newer benchmarks by reaching out to 11000 users & more. Are you there yet? http://startupindiahub.org.in/,,photo,https://www.facebook.com/StartupIndia/photos/a.903216846398805.1073741828.901254039928419/1436009616452856/?type=3,2017-11-02 01:26:02,31,1,11,31,0,0,0,0,0,0
901254039928419_1435244706529347,Know the essentials of a great investor pitch only at #StartupIndia L&D Program. Join today! http://www.startupindia.gov.in/learning-development/,,photo,https://www.facebook.com/StartupIndia/photos/a.903216846398805.1073741828.901254039928419/1435244406529377/?type=3,2017-11-01 04:51:16,22,0,3,22,0,0,0,0,0,0
901254039928419_1435168123203672,Learn tips on Investor's Pitch only at #StartupIndia L&D Program. Join the program today! http://www.startupindia.gov.in/learning-development/,,photo,https://www.facebook.com/StartupIndia/photos/a.903216846398805.1073741828.901254039928419/1435168089870342/?type=3,2017-11-01 02:01:02,48,0,6,48,0,0,0,0,0,0
901254039928419_1434428706610947,#StartupIndia enables funding assistance to mPaani. Know more about them at http://www.mpaani.com  #FundOfFunds,,photo,https://www.facebook.com/StartupIndia/photos/a.903216846398805.1073741828.901254039928419/1434428593277625/?type=3,2017-10-31 05:45:01,33,4,5,31,1,1,0,0,0,0
901254039928419_1433562243364260,Participate in the India Israel Global Innovation Challenge to win mentorship from the experts. Log onto bit.ly/2vXbyNh. #StartupIndia,,photo,https://www.facebook.com/StartupIndia/photos/a.903216846398805.1073741828.901254039928419/1433562156697602/?type=3,2017-10-30 04:58:36,25,1,6,23,1,1,0,0,0,0
901254039928419_1433561363364348,Every day is a good day to startup. Words of Motivation for Indian Startups from Shri.Suresh Prabhu. #StartupIndia,,photo,https://www.facebook.com/StartupIndia/photos/a.903216846398805.1073741828.901254039928419/1433561273364357/?type=3,2017-10-30 04:56:56,28,2,4,27,1,0,0,0,0,0
901254039928419_1432594340127717,#StartupIndia provides funding support to ftcash. Know more about www.ftcash.com #FundOfFunds,,photo,https://www.facebook.com/StartupIndia/photos/a.903216846398805.1073741828.901254039928419/1432594226794395/?type=3,2017-10-29 02:04:38,64,3,10,60,2,1,1,0,0,0
901254039928419_1431947570192394,#FundOfFunds has provided funding support to 75 startups already. Your startup can be the next! #StartupIndia,,photo,https://www.facebook.com/StartupIndia/photos/a.903216846398805.1073741828.901254039928419/1431947490192402/?type=3,2017-10-28 08:26:39,107,14,17,107,0,0,0,0,0,0
901254039928419_1430862713634213,India Israel Global Innovation Challenge is a platform that offers unprecedented advantage to innovative startups. Participate now bit.ly/2vXbyNh #StartupIndia,,photo,https://www.facebook.com/StartupIndia/photos/a.903216846398805.1073741828.901254039928419/1430862620300889/?type=3,2017-10-27 03:02:18,35,3,13,35,0,0,0,0,0,0
901254039928419_1430316213688863,Gain insights on accelerators & incubators by industry experts this #StartupThursday. #StartupIndia,StartupThursday on difference b/w an accelerator & incubator,video,https://www.facebook.com/StartupIndia/videos/1430316213688863/,2017-10-26 10:22:32,85,4,12,83,2,0,0,0,0,0
901254039928419_1430125117041306,This #StartupThursday know about the role & criteria for choosing the right accelerator & incubator. #StartupIndia,,photo,https://www.facebook.com/StartupIndia/photos/a.903216846398805.1073741828.901254039928419/1430124717041346/?type=3,2017-10-26 05:39:40,14,1,1,13,1,0,0,0,0,0
901254039928419_1430015700385581,Understand the difference between an accelerator & incubator this #StartupThursday. #StartupIndia,,photo,https://www.facebook.com/StartupIndia/photos/a.903216846398805.1073741828.901254039928419/1430015533718931/?type=3,2017-10-26 02:16:22,12,1,3,12,0,0,0,0,0,0
901254039928419_1429215507132267,"Start Up, Start now! Participate in the India Israel Global Innovation challenge and give wings to your dreams. bit.ly/2vXbyNh #StartupIndia",,photo,https://www.facebook.com/StartupIndia/photos/a.903216846398805.1073741828.901254039928419/1429215263798958/?type=3,2017-10-25 04:02:33,25,2,4,24,0,1,0,0,0,0
901254039928419_1428403663880118,"#StartupIndia Learning & Development Program preparing entrepreneurs of tomorrow, one at a time. http://www.startupindia.gov.in/learning-development/",,photo,https://www.facebook.com/StartupIndia/photos/a.903216846398805.1073741828.901254039928419/1428403543880130/?type=3,2017-10-24 06:25:30,52,3,4,49,2,1,0,0,0,0
901254039928419_1428325207221297,#StartupIndia Learning Program has helped thousands of entrepreneurs across the country. Have you enrolled in yet? http://www.startupindia.gov.in/learning-development/,,photo,https://www.facebook.com/StartupIndia/photos/a.903216846398805.1073741828.901254039928419/1428325130554638/?type=3,2017-10-24 04:27:22,35,0,8,35,0,0,0,0,0,0
901254039928419_1427493830637768,Shri. Suresh Prabhu speaking about the objective of #StartupIndia Hub.,,photo,https://www.facebook.com/StartupIndia/photos/a.903216846398805.1073741828.901254039928419/1427493767304441/?type=3,2017-10-23 06:42:16,75,11,5,74,1,0,0,0,0,0
